"making_friends","being_successful","good_education","happy_relationships","getting_money","reading","writing","radio","tv","accepted_pni","talking_teachers","talking_villages","funerals","kamadipw","sakau","facebook","talking_kolonia","talking_chief","talking_gov","good_job","friends_school","church","store","talking_neighbors","us_relatives"
"English","English","English","English","English","English","English","English","English","English","English","English","English","English","Other","English","English","English","English","English","English","English","English","English","Other"
"Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pingelapese","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"Pohnpeian","English","English","Pohnpeian","English","English","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English"
"Pohnpeian","English","English","English","English","English","English","English","English","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"English","English","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"Pohnpeian","English","English","Pohnpeian","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"English","English","English","Pohnpeian","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","English","English","English"
"Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","English","English","English","Pohnpeian","English","English","Pohnpeian","Pohnpeian","English","English","English"
"English","English","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Other","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"Pohnpeian","English","English","Pohnpeian","English","English","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"English","English","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"English","English","English","Other","English","English","English","English","Mokilese","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","English","English","English","English","English"
"English","English","English","Chuukese","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","English","English","English","Chuukese","English"
"English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"English","English","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
